year,team,ishome,week,pts,ptsallowed
2010,NO,1,1,14,9
2010,MIN,0,1,9,14
2010,TB,1,1,17,14
2010,CLE,0,1,14,17
2010,BUF,1,1,10,15
2010,MIA,0,1,15,10
2010,NE,1,1,38,24
2010,CIN,0,1,24,38
2010,HOU,1,1,34,24
2010,IND,0,1,24,34
2010,JAC,1,1,24,17
2010,DEN,0,1,17,24
2010,TEN,1,1,38,13
2010,OAK,0,1,13,38
2010,NYG,1,1,31,18
2010,CAR,0,1,18,31
2010,CHI,1,1,19,14
2010,DET,0,1,14,19
2010,STL,1,1,13,17
2010,ARI,0,1,17,13
2010,PIT,1,1,15,9
2010,ATL,0,1,9,15
2010,PHI,1,1,20,27
2010,GB,0,1,27,20
2010,SEA,1,1,31,6
2010,SF,0,1,6,31
2010,WAS,1,1,13,7
2010,DAL,0,1,7,13
2010,NYJ,1,1,9,10
2010,BAL,0,1,10,9
2010,KC,1,1,21,14
2010,SD,0,1,14,21
2010,WAS,1,2,27,30
2010,HOU,0,2,30,27
2010,GB,1,2,34,7
2010,BUF,0,2,7,34
2010,MIN,1,2,10,14
2010,MIA,0,2,14,10
2010,CLE,1,2,14,16
2010,KC,0,2,16,14
2010,TEN,1,2,11,19
2010,PIT,0,2,19,11
2010,DAL,1,2,20,27
2010,CHI,0,2,27,20
2010,DET,1,2,32,35
2010,PHI,0,2,35,32
2010,ATL,1,2,41,7
2010,ARI,0,2,7,41
2010,CAR,1,2,7,20
2010,TB,0,2,20,7
2010,DEN,1,2,31,14
2010,SEA,0,2,14,31
2010,OAK,1,2,16,14
2010,STL,0,2,14,16
2010,NYJ,1,2,28,14
2010,NE,0,2,14,28
2010,CIN,1,2,15,10
2010,BAL,0,2,10,15
2010,SD,1,2,38,13
2010,JAC,0,2,13,38
2010,IND,1,2,38,14
2010,NYG,0,2,14,38
2010,SF,1,2,22,25
2010,NO,0,2,25,22
2010,NYG,1,3,10,29
2010,TEN,0,3,29,10
2010,CAR,1,3,7,20
2010,CIN,0,3,20,7
2010,TB,1,3,13,38
2010,PIT,0,3,38,13
2010,NE,1,3,38,30
2010,BUF,0,3,30,38
2010,BAL,1,3,24,17
2010,CLE,0,3,17,24
2010,MIN,1,3,24,10
2010,DET,0,3,10,24
2010,NO,1,3,24,27
2010,ATL,0,3,27,24
2010,STL,1,3,30,16
2010,WAS,0,3,16,30
2010,HOU,1,3,13,27
2010,DAL,0,3,27,13
2010,KC,1,3,31,10
2010,SF,0,3,10,31
2010,JAC,1,3,3,28
2010,PHI,0,3,28,3
2010,DEN,1,3,13,27
2010,IND,0,3,27,13
2010,ARI,1,3,24,23
2010,OAK,0,3,23,24
2010,SEA,1,3,27,20
2010,SD,0,3,20,27
2010,MIA,1,3,23,31
2010,NYJ,0,3,31,23
2010,CHI,1,3,20,17
2010,GB,0,3,17,20
2010,BUF,1,4,14,38
2010,NYJ,0,4,38,14
2010,CLE,1,4,23,20
2010,CIN,0,4,20,23
2010,PIT,1,4,14,17
2010,BAL,0,4,17,14
2010,TEN,1,4,20,26
2010,DEN,0,4,26,20
2010,GB,1,4,28,26
2010,DET,0,4,26,28
2010,ATL,1,4,16,14
2010,SF,0,4,14,16
2010,NO,1,4,16,14
2010,CAR,0,4,14,16
2010,STL,1,4,20,3
2010,SEA,0,4,3,20
2010,JAC,1,4,31,28
2010,IND,0,4,28,31
2010,OAK,1,4,24,31
2010,HOU,0,4,31,24
2010,PHI,1,4,12,17
2010,WAS,0,4,17,12
2010,SD,1,4,41,10
2010,ARI,0,4,10,41
2010,NYG,1,4,17,3
2010,CHI,0,4,3,17
2010,MIA,1,4,14,41
2010,NE,0,4,41,14
2010,BUF,1,5,26,36
2010,JAC,0,5,36,26
2010,BAL,1,5,31,17
2010,DEN,0,5,17,31
2010,IND,1,5,19,9
2010,KC,0,5,9,19
2010,WAS,1,5,16,13
2010,GB,0,5,13,16
2010,DET,1,5,44,6
2010,STL,0,5,6,44
2010,CAR,1,5,6,23
2010,CHI,0,5,23,6
2010,CIN,1,5,21,24
2010,TB,0,5,24,21
2010,CLE,1,5,10,20
2010,ATL,0,5,20,10
2010,HOU,1,5,10,34
2010,NYG,0,5,34,10
2010,ARI,1,5,30,20
2010,NO,0,5,20,30
2010,DAL,1,5,27,34
2010,TEN,0,5,34,27
2010,OAK,1,5,35,27
2010,SD,0,5,27,35
2010,SF,1,5,24,27
2010,PHI,0,5,27,24
2010,NYJ,1,5,29,20
2010,MIN,0,5,20,29
2010,GB,1,6,20,23
2010,MIA,0,6,23,20
2010,STL,1,6,20,17
2010,SD,0,6,17,20
2010,NE,1,6,23,20
2010,BAL,0,6,20,23
2010,PIT,1,6,28,10
2010,CLE,0,6,10,28
2010,HOU,1,6,35,31
2010,KC,0,6,31,35
2010,NYG,1,6,28,20
2010,DET,0,6,20,28
2010,PHI,1,6,31,17
2010,ATL,0,6,17,31
2010,CHI,1,6,20,23
2010,SEA,0,6,23,20
2010,TB,1,6,6,31
2010,NO,0,6,31,6
2010,DEN,1,6,20,24
2010,NYJ,0,6,24,20
2010,SF,1,6,17,9
2010,OAK,0,6,9,17
2010,MIN,1,6,24,21
2010,DAL,0,6,21,24
2010,WAS,1,6,24,27
2010,IND,0,6,27,24
2010,JAC,1,6,3,30
2010,TEN,0,6,30,3
2010,ATL,1,7,39,32
2010,CIN,0,7,32,39
2010,MIA,1,7,22,23
2010,PIT,0,7,23,22
2010,BAL,1,7,37,34
2010,BUF,0,7,34,37
2010,KC,1,7,42,20
2010,JAC,0,7,20,42
2010,NO,1,7,17,30
2010,CLE,0,7,30,17
2010,CHI,1,7,14,17
2010,WAS,0,7,17,14
2010,CAR,1,7,23,20
2010,SF,0,7,20,23
2010,TB,1,7,18,17
2010,STL,0,7,17,18
2010,TEN,1,7,37,19
2010,PHI,0,7,19,37
2010,SEA,1,7,22,10
2010,ARI,0,7,10,22
2010,SD,1,7,20,23
2010,NE,0,7,23,20
2010,DEN,1,7,14,59
2010,OAK,0,7,59,14
2010,GB,1,7,28,24
2010,MIN,0,7,24,28
2010,DAL,1,7,35,41
2010,NYG,0,7,41,35
2010,SF,1,8,24,16
2010,DEN,0,8,16,24
2010,DAL,1,8,17,35
2010,JAC,0,8,35,17
2010,CIN,1,8,14,22
2010,MIA,0,8,22,14
2010,KC,1,8,13,10
2010,BUF,0,8,10,13
2010,DET,1,8,37,25
2010,WAS,0,8,25,37
2010,STL,1,8,20,10
2010,CAR,0,8,10,20
2010,NYJ,1,8,0,9
2010,GB,0,8,9,0
2010,SD,1,8,33,25
2010,TEN,0,8,25,33
2010,NE,1,8,28,18
2010,MIN,0,8,18,28
2010,ARI,1,8,35,38
2010,TB,0,8,38,35
2010,OAK,1,8,33,3
2010,SEA,0,8,3,33
2010,NO,1,8,20,10
2010,PIT,0,8,10,20
2010,IND,1,8,30,17
2010,HOU,0,8,17,30
2010,DET,1,9,20,23
2010,NYJ,0,9,23,20
2010,BAL,1,9,26,10
2010,MIA,0,9,10,26
2010,CLE,1,9,34,14
2010,NE,0,9,14,34
2010,HOU,1,9,23,29
2010,SD,0,9,29,23
2010,BUF,1,9,19,22
2010,CHI,0,9,22,19
2010,MIN,1,9,27,24
2010,ARI,0,9,24,27
2010,ATL,1,9,27,21
2010,TB,0,9,21,27
2010,CAR,1,9,3,34
2010,NO,0,9,34,3
2010,SEA,1,9,7,41
2010,NYG,0,9,41,7
2010,PHI,1,9,26,24
2010,IND,0,9,24,26
2010,OAK,1,9,23,20
2010,KC,0,9,20,23
2010,GB,1,9,45,7
